title,pair_id,sent_id,complex,label,simple,simp_sent_id,doc_pos,doc_quint,doc_len,pred,pred_l
Giovanni Berlinguer,244,0,"Giovanni Berlinguer Cavaliere di Gran Croce OMRI (9 July 1924 – 6 April 2015) was an Italian politician, humanist and professor of social medicine.",rephrase,"['Giovanni Berlinguer Cavaliere di Gran Croce OMRI, (9 July 1924 – 6 April 2015) was an Italian politician and Professor of Social Medicine.']",0,0.125,1,8,Berlinguer Cavaliere di Gran Crocerebri (9 July 1924 – 6 April 2015) was an Italian politician and doctor.,1
Giovanni Berlinguer,244,1,"He was born in Sassari, Sardinia, the son of Mario Berlinguer.",ignore,"['He was born in Sassari, Sardinia, the son of Mario Berlinguer.']",1,0.25,2,8,#,-1
Giovanni Berlinguer,244,2,"A physician and professor of public health, he worked first in social medicine at the University of Sassari (1969–1974) and then in occupational health at the University ""La Sapienza"" Rome (1975–1999).",delete,[],2,0.375,2,8,#,-1
Giovanni Berlinguer,244,3,"Like his brother Enrico, Giovanni Berlinguer was a major figure in the Italian Communist Party (PCI) and was elected to the Chamber of Deputies in 1972, 1976 and 1979 and to the Senate in 1983 and 1987.",delete,[],2,0.5,3,8,#,-1
Giovanni Berlinguer,244,4,"He ran for secretary of the Democrats of the Left (DS) in 2001, and was defeated by Piero Fassino 61.8% to 34.1%.",rephrase,"['He ran for the secretarship of the Democrats of the Left (DS) in 2001, being defeated by Piero Fassino 61.8% to 34.1%.']",2,0.625,4,8,#,-1
Giovanni Berlinguer,244,5,From 2004 to 2009 he was a Member of the European Parliament representing the DS and sits with the Party of European Socialists group.,ignore,['From 2004 to 2009 he was a Member of the European Parliament representing the DS and sits with the Party of European Socialists group.'],3,0.75,4,8,#,-1
Giovanni Berlinguer,244,6,"At the convening of the Parliament on 20 July 2004 he was found to be the oldest member, and as such presided over the Parliament during the election of Josep Borrell Fontelles in 2004 and Hans-Gert Pöttering in 2007 as President of the Parliament.",delete,[],4,0.875,5,8,#,-1
Giovanni Berlinguer,244,7,He died in Rome at the age of 90.,ignore,['He died in Rome at the age of 90.'],4,1.0,5,8,#,-1
John Soane,909,0,Sir John Soane ( ; né Soan; 10 September 1753 – 20 January 1837) was an English architect who specialised in the Neo-Classical style.,rephrase,['Sir John Soane (10 September 1753 – 20 January 1837) was an English architect.'],0,0.1666666666666666,1,6,Soane was an English architect who worked in the Neo-Classical style of buildings.,1
John Soane,909,1,"The son of a bricklayer, he rose to the top of his profession, becoming professor of architecture at the Royal Academy and an official architect to the Office of Works.",delete,[],1,0.3333333333333333,2,6,#,-1
John Soane,909,2,He received a knighthood in 1831.,rephrase,['He was knighted in 1831.'],1,0.5,3,6,#,-1
John Soane,909,3,"In 1792, Soane bought a house at 12 Lincoln's Inn Fields, London.",delete,[],2,0.6666666666666666,4,6,#,-1
John Soane,909,4,"Later purchasing 13 Lincoln's Inn Fields, he used the house as his home and library, but also entertained potential clients in the drawing room.",delete,[],2,0.8333333333333334,5,6,#,-1
John Soane,909,5,"The houses along with 14 Lincoln's Inn Fields, is now Sir John Soane's Museum and is open to the public for free.",rephrase,"[""His house in Lincoln's Inn Fields is now Sir John Soane's Museum and is open to the public.""]",2,1.0,5,6,#,-1
Cognat-Lyonne,963,0,Cognat-Lyonne is a commune in the department of Allier in Auvergne-Rhône-Alpes in central France.,ssplit,"['Cognat-Lyonne is a French commune.', 'It is in the Allier department in the center of France.']",0,1.0,5,1,Lyonne is a commune in the department of Allier in France.,1
Zdeněk Svěrák,1085,0,"Zdeněk Svěrák (born 28 March 1936) is a Czech actor, humorist and scriptwriter, and one of the most well-known and popular Czech cultural personalities.",rephrase,['Zdeněk Svěrák (born 28th March 1936 in Prague) is best known as a Czech actor and writer.'],0,0.25,2,4,"He is a Czech actor, humorist and scriptwriter, and known for his funny sayings.",1
Zdeněk Svěrák,1085,1,Since 1968 he has apppeared in 32 films.,delete,[],1,0.5,3,4,#,-1
Zdeněk Svěrák,1085,2,Svěrák has won three Magnesia Litera awards for his writing.,rephrase,['He is the holder of 3 Magnesia Litera awards and 3 Czech Leo awards.'],1,0.75,4,4,#,-1
Zdeněk Svěrák,1085,3,"In 2004 he won the Readers' Choice award for his book ""Jaké je to asi v čudu"".",delete,[],2,1.0,5,4,#,-1
Hockenheimring,1112,0,"The is a motor racing circuit situated in the Rhine valley near the town of Hockenheim in Baden-Württemberg, Germany, located on the Bertha Benz Memorial Route.",rephrase,"['The Hockenheimring Baden-Württemberg is an automobile racing track near the town of Hockenheim in Baden-Württemberg, Germany.']",0,0.25,2,4,"It is located in the Rhine valley in Baden-Wuessrttemberg, Germany.",1
Hockenheimring,1112,1,"Amongst other motor racing events, it biennially hosts the German Grand Prix, with the most recent being in 2019.",rephrase,"['Amongst other motor racing events, it holds the annual Formula One German Grand Prix in turns with the Nürburgring.']",1,0.5,3,4,#,-1
Hockenheimring,1112,2,The circuit has very little differences in elevation.,rephrase,"['Being in the Rhine valley, the circuit is almost completely flat, with very little change in height.']",2,0.75,4,4,#,-1
Hockenheimring,1112,3,The circuit has an FIA Grade 1 license.,delete,[],3,1.0,5,4,#,-1
Igualada,1292,0,"Igualada (] ) is a municipality in the province of Barcelona in Catalonia, Spain.",rephrase,['Igualada is a municipality of the province of Barcelona in Spain.'],0,0.2,1,5,"Igualada (] Barcelona is a city in Barcelona, Spain.",1
Igualada,1292,1,It is located on the left bank of the Anoia River and at the western end of the Igualada-Martorell-Barcelona railway.,rephrase,['It is located on the left bank of the Anoia river.'],1,0.4,2,5,#,-1
Igualada,1292,2,"Igualada is the capital and central market of the Anoia comarca, a rich agricultural and wine-producing district.",delete,[],2,0.6,3,5,#,-1
Igualada,1292,3,"The population, as of 2009 , is 38,918.",delete,[],2,0.8,4,5,#,-1
Igualada,1292,4,The city is 65 km west of Barcelona and 20 km west of the famous mountain and monastery of Montserrat.,ssplit,"['The city is 65 km west from the city of Barcelona.', 'It is 20 km west from the famous Montserrat mountain.']",2,1.0,5,5,#,-1
